干貝鮮蝦元寶	太白粉,荸薺,干貝,雞高湯,香菇,水餃,青蔥,柴魚,大蒜,醬油,草蝦	香油,鹽,胡椒
蒜味黃瓜皮	大黃瓜,紅辣椒,蒜仁	香油,醋,鹽,糖
上海菜飯	青江菜,白米,香菇,薑,香腸,水,辣椒,大蒜,香菇	香油,鹽,胡椒,醬油
馬鈴薯燉紅蘿蔔	紅蘿蔔,馬鈴薯,水,青花椰菜	醬油,米酒,香油,味霖
紅蔥塔香中卷	薑,辣椒,魷魚,九層塔	醬油膏,糖,水,蔥
黑豆滷豆輪	薑,八角,橄欖油,黑豆,辣椒,豆輪	米酒,冰糖,鹽,醬油
蒜苗炒臘肉	湖南臘肉,蒜苗,蒜,薄鹽醬油,辣椒
瓜仔肉	素絞肉,薑,橄欖油,花瓜,水	米酒,鹽,胡椒,醬汁,醬油
滷豆乾	豆干,滷汁
芥菜燴干貝	高湯,芥菜,干貝,太白粉,蒜,薑	雞粉,米酒,鹽,香油,糖
瓜仔肉	豬五花肉,蒜,花瓜	雞粉,鹽,米酒
鹹魚雞丁豆腐煲	豆腐,鴻喜菇,紅蘿蔔,雞胸,太白粉,鹹魚,薑,花豆,蒜苗	高湯,蠔油,米酒,香油,糖,醬油
鹹魚雞粒飯	水,白米,雞腿,水,蔥,花飛鹹魚	鹽,胡椒
栗香飯	黑芝麻,栗子,水,尖糯米	鹽,水
西湖翡翠羹	雞骨高湯,嫩豆腐,蛋,吻仔魚,大蒜,火腿,菠菜	太白粉,烏醋,香油,香菇,鹽,胡椒
蔥煎鱈魚排	玉米粉,鱈魚,黃椒,洋蔥	水,鹽,胡椒,蔥
紅燒牛肉	紅蘿蔔,月桂葉,白蘿蔔,薑,牛腩	米酒,醬油,鹽,水,糖
魚翅羹	魚皮,蝦米,高湯,大白菜,魚翅,太白粉,魚,豬肉,花菇,扁魚	雞粉,醬油,鹽,糖	米酒,醬油,糖
茭白肉丁	茭白筍,瘦肉,辣梅醬,小黃瓜
紅燒滷腿庫	薑,醬油膏,冰糖,五香粉,青蔥,香油,八角,腿庫,水,甘醇醬油
辣油拌豬耳朵	豬耳朵,辣椒,蒜,蒜苗	細砂糖,烏醋,油,胡椒,鹽,白醋
髮菜羹	太白粉,高湯,筍,蟹肉,香菇,木耳,香菜,豬肉,紅蘿蔔,金針菇,大白菜	烏醋,胡椒,鹽,香油,雞粉,糖,醬油	米酒,醬油,糖
四季松子飯	白米,松子,四季豆,橄欖油,水,辣椒,蒜	鹽
紅燒魚	魚,薑,蔥,紅辣椒,蒜	米酒,醬油膏,鹽,醬油,糖
木須炒餅煲	辣椒,竹筍,韭黃,洋蔥,紅蘿蔔,白菜,油,黑木耳,里肌肉,雞蛋	香油,蠔油,鹽,胡椒,糖
薑絲炒大腸	薑,辣椒,豬大腸,大蒜	黃豆,白砂糖,香油,醋,鹽,胡椒
彩椒魚片 	紅椒,薑,蔥,魚,黃椒	太白粉,高湯,蔥,太白粉,米酒,鹽,蛋白
蒜苗魚翅頭	蒜苗,大蒜,辣椒,魚翅	黃豆,太白粉,雞粉,水,鹽,胡椒
蕃茄魚片	青蔥,大蒜,鯛魚,麵粉,大蕃茄	蕃茄醬,白砂糖,香油,水,鹽,胡椒
綠花椰菜心雞湯	雞肉,水,薑,菜心	米酒,鹽,胡椒,雞粉
香煎素鵝	腐皮,豆芽,橄欖油,香菇,麵糊	鹽,胡椒,香菇,糖
芹菜炒金針菇	青蔥,大蒜,芹菜,金針,辣椒	香油,雞粉,辣豆瓣醬,胡椒
紅燒素丸子	荸薺,板豆腐,太白粉,青江菜,薑,太白粉,山藥,水,辣椒	醬油膏,鹽,糖,香油,香菇,胡椒,醬油,醬油
滷翅小腿	蒜味滷汁,翅小腿
客家腐乳肉醬	薑,香菇,梅花肉,青蔥,辣椒,大蒜	米酒,香油,雞粉,水,豆腐,糖,醬油
三杯魚塊	薑,草魚,紅辣椒,九層塔,蒜仁	米酒,麻油,水
滷杏鮑菇	薑,滷汁,大蒜,杏鮑菇,洋蔥
海鮮魚翅羹	海鮮高湯,雞骨高湯,嫩豆腐,大白菜,魚翅,黑木耳,大蒜	太白粉,香油,雞粉,糖,鹽,胡椒,醬油
排骨酥	蛋黃,蒜,排骨,胡椒鹽,地瓜	五香粉,米酒,糖,胡椒,鹽,醬油
什錦髮菜羹	黑木耳,竹筍,秀珍菇,紅蘿蔔,火腿,花菇,太白粉,山藥,水,金針,髮菜,豆薯	烏醋,香油,糖,香菇,鹽,胡椒,醬油
蒜苗炒雪螺	蒜苗,大蒜,雪螺,辣椒	香油,黃豆,鹽,胡椒
蠔油醬	糖,蠔油,水,香菜,薑,蔥,胡椒
麻油肉絲炒茴香	黑麻油,薑,茴香,米酒,水,沙拉油	雞粉,鹽
草蝦鮮菇冬粉煲	蝦米,鴻喜菇,芹菜,香菇,冬粉,毛豆,薑,蔥,蒜,草蝦	蠔油,米酒,香油,水,糖,魚露
蔥香滷百味	海帶,豬皮,豆干,白蘿蔔,薑,青蔥,雞翅	香油,水,糖,醬油,蔥
蒜泥蚵仔	地瓜,蚵仔,九層塔,香油,蒜,水,糖,醬油
辣醬滷牛筋	肉桂,草果,八角,薑,牛筋,蒜	米酒,細砂糖,沙拉油,水,辣椒
菩提滷汁	薑,細砂糖,大蕃茄,雞粉,蠔油,香油,八角,水
蔥燒醬	青蔥,大蒜,豬,洋蔥	醬油膏,蕃茄醬,太白粉,香油,水,糖,鹽,胡椒
紅蔥魚香茄子	青蔥,大蒜,豬,茄子,辣椒	太白粉,蔥,香油,水,糖,鹽,胡椒
川味麻辣醬	辣椒,牛肉,大蒜,青蔥	五香粉,米酒,花椒,香油,油,鹽,胡椒,醬油
白玉南瓜鑲福袋  	蒜苗,豬,香菇,紅辣椒,玉米筍,大蒜,高麗菜,南瓜	鹽,水,雞粉,太白粉,香油,胡椒,雞高湯,水
南瓜煮	薑,南瓜,橄欖油,水	鹽,胡椒,糖
滷豆皮	豆皮,滷汁
糖醋魚片	紅椒,鯛魚,洋蔥,地瓜,太白粉,青椒	太白粉,蕃茄醬,蛋液,細砂糖,水,鹽,白醋	蔥,米酒,鹽,薑
蒜苗滷大腸	香油,細砂糖,薑,蒜苗,豬大腸,米酒,醬油膏,青蔥,大蒜,八角
銀杏百合蝦球	蝦子,銀杏,蒜,薑	米酒,鹽,高湯,雞粉
韭菜干絲	韭菜,大蒜,干絲,辣椒	香油,鹽,胡椒
不沾鍋的荷包蛋	蛋
絲瓜炒蛤蜊	薑,絲瓜,大蒜,蛤蠣	香油,雞粉,鹽
雪裡紅肉醬	薑,辣椒,雪裡紅,大蒜,豬	黃豆,香油,糖,鹽,胡椒,白醋,醬油
辣味雞胗	水,蒜,紅辣椒,雞胗	糖,鹽,辣椒,醬油
鍋巴明蝦煲	竹筍,薑,紅蘿蔔,白蘿蔔,太白粉,木耳,鍋巴,蔥,明蝦	蕃茄醬,米酒,香油,水,糖,鹽,胡椒
酸菜炒五花肉	蒜,五花肉,酸菜,辣椒	細砂糖,烏醋,米酒,胡椒,鹽,醬油
滷黃金玉米	玉米,菩提滷汁,青蔥
桂花蝦	薑,蝦子,蔘鬚,枸杞,桂花,蔥,陳皮	酒,米酒,鹽
紅蔥嫩煎鮮干貝	綠花椰菜,麵粉,黃椒,干貝,奶油	白酒,蔥
蔥味滷牛腱	薑,青蔥,牛腱	冰糖,陳皮,甘醇醬油,水
涼拌黃瓜	辣椒,醋,白糖,鹽,小黃瓜
基礎魚漿	九棍魚淨肉,中薑,蔥,水,鰻魚	香油,胡椒,太白粉,鹽,細砂糖
滷雞腳	滷汁,雞腳
栗子燒雞	栗子,雞腿,水,香菇,辣椒	香油,米酒,蠔油,冰糖,醬油
涼拌海哲皮	佛手瓜,蒜,辣椒	香油,細砂糖,鹽,白醋
紅蔥滷肉燥	紅蔥頭,豬,豆干,青蔥,辣椒,大蒜	香油,油,醬油膏,水,蔥
五柳魚	筍,太白粉,木耳,黃魚,麵粉,水,蔥,紅蘿蔔,洋蔥	番茄醬,白糖,烏醋,糖,鹽,醬油	蔥,米酒,鹽,薑
滷豬舌	豬舌,滷汁
何首烏雞湯	米酒,黃耆,雞肉,枸杞,水,何首烏,紅棗,當歸	鹽
黃豆薏仁燉豬腳	米酒,黃豆,薏仁,水,薑,豬腳	鹽,冰糖
雞骨高湯	洋蔥,薑,青蔥,芹菜,雞骨,大蒜	米酒,水,鹽,胡椒,雞粉
肉末炒箭筍	箭筍,辣椒,大蒜,豬	太白粉,辣豆瓣醬,香油,雞粉,鹽,胡椒
臘味蘿蔔糕	臘肉,澄粉,肝腸,白蘿蔔,水,米粉,紅蔥酥	雞粉,鹽,醬油
客家炒粄條	韭菜,粄條,豆芽,香菇,蝦米	醬油,蔥
香蒜肉醬	蒜苗,大蒜,三層肉,辣椒	香油,醬油,鹽,胡椒,蒜
蔥尾炒雞柳	蔥,雞胸,紅辣椒,蒜仁	米酒,醬油,鹽,糖	米酒,太白粉,醬油
生蚵豆腐羹	蝦米,嫩豆腐,小白菜,蛋,蔬菜,豬,大蒜,鮮蚵	黃豆,太白粉,米酒,太白粉,香油,鹽,胡椒
滷糖心蛋	雞蛋	肉桂,細砂糖,八角,水,鹽,醬油
核桃炒蝦仁	蒜,核桃,紅蘿蔔,蝦子,薑,甜豆	米酒,鹽,胡椒,雞粉	蔥,米酒,薑
豆乾炒海帶絲	海帶,青蔥,大蒜,豆干	香油,白砂糖,胡椒,蠔油
肉燥炒山蘇	辣椒,大蒜,豬,山蘇	水,鹽,胡椒,蔥
臘肉煲飯	臘肉,白米,青蔥,芹菜,辣椒,大蒜,水	鹽,米酒,香油,砂糖,胡椒,醬油膏
南瓜蔥燉牛肋	牛肋,洋蔥,南瓜,蒜	鹽,糖,水,鮮奶油,蔥
辣拌干絲	油,芹菜,白干絲
冬筍蹄筋湯	花菇,竹筍,蹄筋,火腿	米酒,鹽,雞粉
豆瓣鯉魚	蔥,薑,鯉魚,豬,蒜	太白粉,辣豆瓣醬,酒釀,水,醬油
肉燥培根馬鈴薯	培根,辣椒,大蒜,馬鈴薯,青蔥	水,鹽,胡椒,蔥
紅豆桂圓紫米粥	紫米,圓糯米,紅豆,水,桂圓	米酒,細砂糖
金瓜焉篤煲	清高湯,里肌肉,南瓜,蛤蠣,青蔥	香油,鹽,胡椒
